generation,member,sim,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=37,-0.287745,81,-999,1710.49,1710.49,1,-999
0,gen=0_member=38,-0.255419,84,-999,1464.48,1464.48,1,-999
0,gen=0_member=39,-0.864391,29,-999,4544.48,4544.48,1,-999
0,gen=0_member=40,-1.07218,8,-999,4922.49,4922.49,1,-999
0,gen=0_member=41,-0.333648,78,-999,1947.49,1947.49,1,-999
0,gen=0_member=42,-0.395701,67,-999,2739.5,2739.5,1,-999
0,gen=0_member=43,-0.373069,72,-999,2394.49,2394.49,1,-999
0,gen=0_member=44,-0.458295,60,-999,3180.49,3180.49,1,-999
0,gen=0_member=45,-0.470156,59,-999,3239.48,3239.48,1,-999
0,gen=0_member=46,-0.534484,52,-999,3624.49,3624.49,1,-999
0,gen=0_member=47,-0.61453,46,-999,3915.49,3915.49,1,-999
0,gen=0_member=48,-0.871612,28,-999,4572.49,4572.49,1,-999
0,gen=0_member=49,-0.950326,20,-999,4760.49,4760.49,1,-999
0,gen=0_member=50,-0.795776,33,-999,4422.48,4422.48,1,-999
0,gen=0_member=51,-0.651501,40,-999,4170.49,4170.49,1,-999
0,gen=0_member=52,-0.183312,86,-999,1295.48,1295.48,1,-999
0,gen=0_member=53,-1.14197,4,-999,4944.48,4944.48,1,-999
0,gen=0_member=54,-0.334306,77,-999,2024.49,2024.49,1,-999
0,gen=0_member=55,-0.109776,90,-999,945.478,945.478,1,-999
0,gen=0_member=56,-0.802498,31,-999,4485.48,4485.48,1,-999
0,gen=0_member=57,-1.01047,16,-999,4830.49,4830.49,1,-999
0,gen=0_member=58,-0.915469,23,-999,4697.49,4697.49,1,-999
0,gen=0_member=59,-0.697053,37,-999,4284.48,4284.48,1,-999
0,gen=0_member=60,-0.0406386,94,-999,579.467,579.467,1,-999
0,gen=0_member=61,-1.00471,17,-999,4814.49,4814.49,1,-999
0,gen=0_member=62,-0.244943,85,-999,1380.48,1380.48,1,-999
0,gen=0_member=63,-1.05414,12,-999,4884.49,4884.49,1,-999
0,gen=0_member=64,-0.617315,44,-999,4004.49,4004.49,1,-999
0,gen=0_member=65,-0.363854,73,-999,2322.49,2322.49,1,-999
0,gen=0_member=66,-0.348438,76,-999,2100.49,2100.49,1,-999
0,gen=0_member=67,-0.409238,61,-999,3120.49,3120.49,1,-999
0,gen=0_member=68,-0.874174,27,-999,4599.49,4599.49,1,-999
0,gen=0_member=69,-1.06965,9,-999,4914.49,4914.49,1,-999
0,gen=0_member=70,-0.362804,74,-999,2249.49,2249.49,1,-999
0,gen=0_member=71,-0.396912,66,-999,2805.5,2805.5,1,-999
0,gen=0_member=72,-1.05931,11,-999,4895.49,4895.49,1,-999
0,gen=0_member=73,-0.179923,87,-999,1209.48,1209.48,1,-999
0,gen=0_member=74,-1.22354,2,-999,4949.46,4949.46,1,-999
0,gen=0_member=75,-0.972795,19,-999,4779.49,4779.49,1,-999
0,gen=0_member=76,-0.736394,35,-999,4355.48,4355.48,1,-999
0,gen=0_member=77,-1.10569,6,-999,4935.48,4935.48,1,-999
0,gen=0_member=78,-0.906962,26,-999,4625.49,4625.49,1,-999
0,gen=0_member=79,-0.0176429,95,-999,485.467,485.467,1,-999
0,gen=0_member=80,-0.473834,58,-999,3297.48,3297.48,1,-999
0,gen=0_member=81,-0.399309,65,-999,2870.5,2870.5,1,-999
0,gen=0_member=82,-1.12276,5,-999,4940.48,4940.48,1,-999
0,gen=0_member=83,-0.630464,43,-999,4047.49,4047.49,1,-999
0,gen=0_member=84,-0.607067,47,-999,3869.49,3869.49,1,-999
0,gen=0_member=85,-0.770213,34,-999,4389.48,4389.48,1,-999
0,gen=0_member=86,-0.405124,62,-999,3059.49,3059.49,1,-999
0,gen=0_member=87,-0.0959631,92,-999,764.479,764.479,1,-999
0,gen=0_member=88,-0.114217,89,-999,1034.48,1034.48,1,-999
0,gen=0_member=89,-0.864173,30,-999,4515.49,4515.49,1,-999
0,gen=0_member=90,-0.381832,69,-999,2604.5,2604.5,1,-999
0,gen=0_member=91,-1.17556,3,-999,4947.47,4947.47,1,-999
0,gen=0_member=92,-0.358501,75,-999,2175.49,2175.49,1,-999
0,gen=0_member=93,-1.06074,10,-999,4905.49,4905.49,1,-999
0,gen=0_member=94,-0.385078,68,-999,2672.5,2672.5,1,-999
0,gen=0_member=95,-0.402459,63,-999,2997.49,2997.49,1,-999
0,gen=0_member=96,-0.376032,71,-999,2465.49,2465.49,1,-999
0,gen=0_member=97,-0.603034,48,-999,3822.49,3822.49,1,-999
0,gen=0_member=98,-0.587679,49,-999,3774.49,3774.49,1,-999
0,gen=0_member=99,-0.100584,91,-999,855.48,855.48,1,-999
